Name,External ID,Control ID,Statement ID,Control Question
AC-1(a) Policy and Procedures,ac-1_smt.a,ac-1,ac-1_smt.a,"Develop, document, and disseminate to [organization-defined personnel or roles]: 1. [organization-level | mission/business process-level | system-level] access control policy that: (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and 2. Procedures to facilitate the implementation of the access control policy and the associated access controls;"
AC-1(b) Policy and Procedures,ac-1_smt.b,ac-1,ac-1_smt.b,"Designate an [official] to manage the development, documentation, and dissemination of the access control policy and procedures; and"
AC-1(c) Policy and Procedures,ac-1_smt.c,ac-1,ac-1_smt.c,Review and update the current access control: 1. Policy [frequency] and following [events] ; and 2. Procedures [frequency] and following [events].
AC-2(a) Account Management,ac-2_smt.a,ac-2,ac-2_smt.a,Define and document the types of accounts allowed and specifically prohibited for use within the system;
AC-2(b) Account Management,ac-2_smt.b,ac-2,ac-2_smt.b,Assign account managers;
AC-2(c) Account Management,ac-2_smt.c,ac-2,ac-2_smt.c,Require [prerequisites and criteria] for group and role membership;
AC-2(d) Account Management,ac-2_smt.d,ac-2,ac-2_smt.d,"Specify: 1. Authorized users of the system; 2. Group and role membership; and 3. Access authorizations (i.e., privileges) and [attributes (as required)] for each account;"
AC-2(e) Account Management,ac-2_smt.e,ac-2,ac-2_smt.e,Require approvals by [personnel or roles] for requests to create accounts;
AC-2(f) Account Management,ac-2_smt.f,ac-2,ac-2_smt.f,"Create, enable, modify, disable, and remove accounts in accordance with [policy, procedures, prerequisites, and criteria];"
AC-2(g) Account Management,ac-2_smt.g,ac-2,ac-2_smt.g,Monitor the use of accounts;
AC-2(h) Account Management,ac-2_smt.h,ac-2,ac-2_smt.h,Notify account managers and [personnel or roles] within: 1. [time period] when accounts are no longer required; 2. [time period] when users are terminated or transferred; and 3. [time period] when system usage or need-to-know changes for an individual;
AC-2(i) Account Management,ac-2_smt.i,ac-2,ac-2_smt.i,Authorize access to the system based on: 1. A valid access authorization; 2. Intended system usage; and 3. [attributes (as required)];
AC-2(j) Account Management,ac-2_smt.j,ac-2,ac-2_smt.j,Review accounts for compliance with account management requirements [frequency];
